Card,Win,Loss,Total,Win%,Likely Win%,Set,Rarity,CC,Color,Likelihood
"Ulamog, the Ceaseless Hunger",601,48,649,0.926040062,0.439199449,Battle for Zendikar,M,10,0,0.130703952
Void Winnower,390,155,545,0.71559633,0.432172068,Battle for Zendikar,M,9,0,0.189281358
Desolation Twin,546,239,785,0.695541401,0.409072363,Battle for Zendikar,R,10,0,0.130703952
"Gideon, Ally of Zendikar",810,363,1173,0.690537084,0.675323544,Battle for Zendikar,M,4,White,0.953122336
Ob Nixilis Reignited,797,363,1160,0.687068966,0.645032392,Battle for Zendikar,M,5,Black,0.869073071
Serpentine Spike,962,452,1414,0.680339463,0.520970126,Battle for Zendikar,R,7,0,0.493002453
Drowner of Hope,1908,934,2842,0.671358198,0.58208295,Battle for Zendikar,R,6,0,0.707637623
Roil Spout,3558,1797,5355,0.66442577,0.660229702,Battle for Zendikar,U,3,White/Blue,0.985939324
Grip of Desolation,3399,1736,5135,0.661927945,0.575409748,Battle for Zendikar,U,6,0,0.707637623
"Omnath, Locus of Rage",402,206,608,0.661184211,0.51152654,Battle for Zendikar,M,7,Red/Green,0.493002453
Swarm Surge,2641,1381,4022,0.656638488,0.652551915,Battle for Zendikar,C,3,0,0.985939324
Gruesome Slaughter,596,317,913,0.65279299,0.56894551,Battle for Zendikar,R,6,0,0.707637623
Breaker of Armies,2246,1209,3455,0.650072359,0.453940554,Battle for Zendikar,U,8,0,0.309570966
Oblivion Sower,923,502,1425,0.647719298,0.565355175,Battle for Zendikar,M,6,0,0.707637623
Angel of Renewal,3476,1980,5456,0.637096774,0.557838277,Battle for Zendikar,U,6,White,0.707637623
Exert Influence,1319,759,2078,0.634744947,0.599558996,Battle for Zendikar,R,5,Blue,0.869073071
Guardian of Tazeem,1787,1030,2817,0.634362797,0.59922688,Battle for Zendikar,R,5,Blue,0.869073071
Emeria Shepherd,1065,623,1688,0.630924171,0.496608266,Battle for Zendikar,R,7,White,0.493002453
Tajuru Warcaller,2723,1597,4320,0.630324074,0.595716935,Battle for Zendikar,U,5,Green,0.869073071
Dragonmaster Outcast,850,504,1354,0.627769572,0.627769572,Battle for Zendikar,M,1,Red,1
Ugin's Insight,1409,841,2250,0.626222222,0.592152126,Battle for Zendikar,R,5,Blue,0.869073071
Drana's Emissary,3908,2354,6262,0.624081763,0.620452959,Battle for Zendikar,U,3,White/Black,0.985939324
Quarantine Field,623,378,1001,0.622377622,0.621742067,Battle for Zendikar,M,2,White,0.997521019
Akoum Firebird,772,469,1241,0.622078969,0.610074585,Battle for Zendikar,M,4,Red,0.953122336
Sire of Stagnation,715,439,1154,0.619584055,0.545445618,Battle for Zendikar,M,6,0,0.707637623
Ulamog's Nullifier,2733,1709,4442,0.615263395,0.603578509,Battle for Zendikar,U,4,0,0.953122336
Scatter to the Winds,1254,795,2049,0.612005857,0.608546848,Battle for Zendikar,R,3,Blue,0.985939324
Ruin Processor,5095,3265,8360,0.609449761,0.486021329,Battle for Zendikar,C,7,0,0.493002453
Rolling Thunder,2934,1887,4821,0.60858743,0.60798606,Battle for Zendikar,U,2,Red,0.997521019
Resolute Blademaster,2422,1560,3982,0.608237067,0.576521712,Battle for Zendikar,U,5,White/Red,0.869073071
Plated Crusher,1543,997,2540,0.607480315,0.485050388,Battle for Zendikar,U,7,Green,0.493002453
Akoum Hellkite,1264,819,2083,0.606817091,0.536411234,Battle for Zendikar,R,6,Red,0.707637623
Wasteland Strangler,1618,1063,2681,0.603506154,0.600166657,Battle for Zendikar,R,3,0,0.985939324
Ondu Rising,2389,1576,3965,0.602522068,0.601935734,Battle for Zendikar,U,2,White,0.997521019
Part the Waterveil,405,269,674,0.600890208,0.532217148,Battle for Zendikar,M,6,Blue,0.707637623
Coastal Discovery,3816,2540,6356,0.600377596,0.589390522,Battle for Zendikar,U,4,Blue,0.953122336
Eldrazi Skyspawner,11707,7844,19551,0.598792901,0.595519675,Battle for Zendikar,C,3,0,0.985939324
Halimar Tidecaller,3130,2102,5232,0.59824159,0.594976116,Battle for Zendikar,U,3,Blue,0.985939324
Inspired Charge,1404,947,2351,0.597192684,0.586354911,Battle for Zendikar,C,4,White,0.953122336
Conduit of Ruin,1409,954,2363,0.59627592,0.528951905,Battle for Zendikar,R,6,0,0.707637623
Brood Monitor,2885,1958,4843,0.595705141,0.528548,Battle for Zendikar,U,6,0,0.707637623
Bane of Bala Ged,2871,1954,4825,0.595025907,0.478910334,Battle for Zendikar,U,7,0,0.493002453
Infuse with the Elements,902,618,1520,0.593421053,0.582760085,Battle for Zendikar,U,4,Green,0.953122336
"Drana, Liberator of Malakir",827,571,1398,0.591559371,0.588387853,Battle for Zendikar,M,3,Black,0.985939324
"Noyan Dar, Roil Shaper",1379,955,2334,0.590831191,0.561394734,Battle for Zendikar,R,5,White/Blue,0.869073071
Blight Herder,1488,1031,2519,0.590710599,0.561289931,Battle for Zendikar,R,5,0,0.869073071
Planar Outburst,1117,777,1894,0.589757128,0.560461294,Battle for Zendikar,R,5,White,0.869073071
Processor Assault,1374,961,2335,0.588436831,0.587885414,Battle for Zendikar,U,2,0,0.997521019
Vile Aggregate,3852,2695,6547,0.588361081,0.585234534,Battle for Zendikar,U,3,0,0.985939324
Felidar Sovereign,1357,953,2310,0.587445887,0.522703441,Battle for Zendikar,R,6,White,0.707637623
Windrider Patrol,3553,2496,6049,0.587369813,0.558386543,Battle for Zendikar,U,5,Blue,0.869073071
Eldrazi Devastator,2796,1965,4761,0.587271582,0.434499257,Battle for Zendikar,C,8,0,0.309570966
